name,batch,one_liner,website,slug,industries,tags,team_size,all_locations,status,stage,agent_type,ai_vertical,ai_tech_strength,ai_confidence,ai_reasoning,long_description
Cardamon,Winter 2025,AI compliance co-pilot for regulated financial businesses,https://cardamon.ai/,cardamon,B2B; Finance and Accounting,Artificial Intelligence; Fintech; Compliance; Regtech,2,"London, United Kingdom",Active,Early,Single-Purpose Agent,Finance and Accounting,Vertical Agent Product,0.9,Cardamon offers an AI compliance co-pilot that autonomously ingests regulations and guides compliance officers through complex tasks.,"Cardamon is an AI powered platform that ingests relevant regulation, understands what applies to each regulated financial firm, and gets compliance officers from regulation, to obligations, to product requirements in minutes - not weeks.

Financial firms face a host of complex regulations that make it incredibly painful to launch and maintain products in a compliant way. As a Product team at Revolut, we felt this pain deeply ourselves - we had products ready to launch but stuck in compliance limbo, often for weeks. Turns out, getting compliant took as long as building the product itself. 

Frustrated, we dug in and were shocked by how manual and inefficient the processes were. That’s when it clicked: there’s a huge opportunity to automate the boring stuff (and solve our own problem!). Compliance teams win because they ditch the tedious tasks. Product teams win because they ship faster. Everyone’s happy."
Caseflood.ai,Winter 2025,How elite law firms do intake,https://caseflood.ai,caseflood-ai,B2B; Legal,Artificial Intelligence; B2B; Sales; Legal; Call Center,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Legal & Compliance,Vertical Agent Product,0.9,"Caseflood.ai builds AI agents for elite law firms to automate client intake, acting autonomously in legal workflows.",
Cenote,Winter 2025,AI agents that convert and retain patients for digital clinics,https://www.joincenote.com/,cenote,Healthcare,Artificial Intelligence; Robotic Process Automation; Health Tech; B2B; Healthcare,3,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.95,Cenote builds AI sales reps (autonomous agents) for digital health clinics that engage patients across channels with personalized outreach.,"Cenote builds AI sales reps for online health clinics and deploys them for abandoned-cart and win-back campaigns.

Today, digital and telehealth clinics rely on generic text blasts or human follow-up for speed-to-lead and customer reactivation. Since the lead has often gone cold and the outreach isn’t personalized, conversion is frequently below 1%.

Cenote’s AI agents reach out immediately, communicate on the patient’s preferred schedule, and operate across channels—dramatically increasing conversion rates and unlocking revenue that otherwise goes unrealized."
Cifrato,Winter 2025,AI Accountant for Accounting Firms,https://cifrato.ai,cifrato,B2B; Operations,Artificial Intelligence; FinOps; SaaS,13,"Bogotá, Bogota, Colombia; Remote",Active,Early,Single-Purpose Agent,Finance & Accounting,Vertical Agent Product,0.9,Cifrato offers AI agents that autonomously execute end-to-end accounting workflows including invoice processing and tax filings.,"End-to-end accounting workflows executed by AI agents.
- Invoice capture + upload to ERP/POS
- Invoice payment + reconciliation
- Tax filings
- CFO insights on demand"
Confident AI,Winter 2025,The LLM Eval and Observability Platform for AI Quality,https://confident-ai.com,confident-ai,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools; Generative AI; Open Source,7,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Evaluation & Monitoring,0.95,"Confident AI provides evaluation and observability infrastructure specifically for LLM-based AI systems, enabling quality monitoring of agents.","Confident AI allows companies of all sizes to benchmark, safeguard, and improve LLM applications, with best-in-class metrics and guardrails powered by DeepEval. Built by the creators of DeepEval (12.6k stars, >3m monthly downloads), Confident AI is able to offer battle-tested, open-source evaluation algorithms while providing the infrastructure needed for teams to stay confident their LLM systems."
Contrario,Winter 2025,AI hiring platform powered by expert recruiters,https://contrario.ai,contrario,B2B; Recruiting and Talent,Artificial Intelligence; SaaS; Recruiting,15,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,HR & Recruiting,Vertical Agent Product,0.9,"Contrario uses vertical AI agents purpose-built for recruiting and hiring, acting autonomously to improve hiring outcomes.","Contrario is an AI recruiting and hiring platform on a mission to help companies build generational teams.

In the age of AI, the best teams are still built by the best people. Recruiting has become a zero-sum game where speed and quality decide who wins.

Contrario is a network of expert recruiters supercharged by vertical AI agents purpose-built for hiring. Teams at Wispr Flow, Listen Labs, Slash, and 200+ of the fastest-growing companies use Contrario to power their hiring.

In under six months, Contrario has crossed $6M in annualized revenue, paid out $1M+ to recruiters, and placed 150+ candidates — making it one of the fastest-growing AI recruiting platforms on the market.

Backed by Y Combinator, Nexus Venture Partners, Goodwater Capital, and Inventum Ventures, alongside angels including David Chen (ex-HRT), Abhijeet Dwivedi (OpenAI), Hank Couture (DoorDash), and Jerry Cain (Stanford CS). Built by Stanford dropouts. Headquartered in San Francisco."
CopyCat,Winter 2025,AI agents built for insurance. ,https://runcopycat.com,copycat,Fintech; Insurance,Artificial Intelligence; B2B; Logistics; Healthcare; Operations,2,"Seattle, WA, USA",Active,Early,Single-Purpose Agent,Insurance,Vertical Agent Product,0.9,"CopyCat builds AI agents specifically for insurance operations, enabling autonomous workflows in that vertical.","CopyCat builds AI specifically for the insurance industry. We help brokers, carriers, and MGA's move faster and more efficiently for what will soon be the next generation of insurance operations."
Corsair,Winter 2025,Integration Layer for AI Agents,https://www.corsair.dev,corsair,"B2B; Engineering, Product and Design",Developer Tools; B2B; Workflow Automation; Open Source; Personalization,2,"New York, NY, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent API/SDK,0.95,"Corsair provides an integration layer for AI agents, handling plumbing and enabling developers to build and connect agents easily.","What Corsair is:
Corsair gives you (or your agent) safe access to hundreds of integrations. It natively handles all integration plumbing. The only code you write is the code that's specific to your use case. Your data stays yours.

Why we wrote it:
Integrations make products capable. Integrations are also frustrating to write. If you look at any codebase with integrations, 95% of the code is identical. It's all just basic plumbing. The part of the integration that is unique to a codebase and actually adds value is probably just a few lines. We shouldn't waste time writing and maintaining the 95% for a few lines. The developer community has just accepted that we do. Corsair handles the 95% so you don't have to. It's really hard to get wrong. "
Delineate,Winter 2025,Agents for Accelerated Clinical Trial Design,https://delineate.pro/,delineate,"B2B; Engineering, Product and Design",SaaS; Biotech; AI,20,"Boston, MA, USA; Remote",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.9,"Delineate builds AI agents to accelerate clinical trial design, acting autonomously to process data and generate insights.","Delineate is building AI agents to design better clinical trials faster.

This is a $10B dollar market, where saving even 1 day along the process is equal to $1-5M in revenue potential.

We process existing clinical trial research into specialized datasets saving scientists months of effort.

Delineate is working with two of the largest pharmaceutical companies. With one of our customers, we are helping them get to the next phase of trials faster by creating the largest dataset on a drug class ever constructed."
Dex,Winter 2025,The AI Coworker in Chrome,https://joindex.com,joindex,B2B; Productivity,Artificial Intelligence; Productivity; Consumer Products; AI,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Memory & State,0.95,"Dex is an AI coworker browser agent with long-term memory and multimodal interaction, serving as a foundation for adaptive AI agents.","ThirdLayer is an applied research and product lab building the next interface for human–AI collaboration.

Our first product is Dex, an AI copilot for the browser. Think Cursor for knowledge work, optimized for speed and embedded directly where you work.

Most web agents are built for set-and-forget tasks. But real work is fluid and messy—spread across tabs, tools, and evolving decisions. Dex transforms your browser into an intelligent, multimodal workspace that understands your intent through voice, text, and action. It enhances familiar interfaces, automates tedious steps, and removes the friction of handoffs.

Beneath the surface, Dex is more than a browser agent — it’s a foundation for:

● Long-term, cross-modal memory grounded in real workflows
● A new interaction layer to replace static UI with a collaborative canvas 
● Personalization: understanding how individuals approach tasks and navigate software

We're building the infrastructure for adaptive, intent-aware systems that work the way you do."
Egress Health,Winter 2025,"Automated revenue cycle management, starting with dentists",https://tryegress.com,egress-health,Healthcare,,2,"San Francisco, CA, USA",Acquired,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.95,"Egress Health builds AI agents that autonomously automate revenue cycle management workflows for dental offices, indicating a specialized autonomous agent product.","Egress Health builds AI agents to automate revenue cycle management, starting with dental offices. Our workflows span eligibility checks, claims scrubbing, payment posting, and denial management. On average, our customers eliminate 1-2 full time employees and collect 5-15% more revenue each month. Interested in learning more? Shoot us a note at founders@tryegress.com"
Flowtel,Winter 2025,The AI Voice agents for hotels,https://flowtel.ai,flowtel,B2B; Infrastructure,,5,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Customer Support,Vertical Agent Product,0.9,"Flowtel builds AI voice agents that autonomously handle hotel operations such as booking and room service, fitting the single-purpose agent category.","Flowtel is building the next generation operating system for hospitality, powered by modern AI agents that can handle everything from booking to room service. "
Harper,Winter 2025,AI-native commercial insurance brokerage,https://www.harperinsure.com/,harper,Fintech; Insurance,Fintech; Insurance; AI,25,"San Francisco, CA, USA",Active,Growth,Single-Purpose Agent,Insurance,Vertical Agent Product,0.9,"Harper builds a fully autonomous AI-powered commercial insurance brokerage automating workflows to secure coverage, indicating a single-purpose autonomous AI agent product in insurance.","At Harper, we are building a fully autonomous commercial insurance brokerage powered by AI. Our initial focus is on mid-sized businesses with complex insurance needs, but our vision is to eventually serve every business in the country.

By leveraging AI to automate key workflows in the insurance process, we efficiently secure optimal coverage for each client's unique requirements at competitive prices and with rapid turnaround. Our AI system learns from the expertise of our brokers, accumulating not just knowledge but also the specific workflows, data, and capabilities that pave the way to full autonomy."
Invo,Winter 2025,infra for computer use agents,https://www.tryinvo.com/,invo,B2B,,1,,Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Building Platform,0.85,"Invo is described as 'infra for computer use agents' indicating it provides infrastructure or platform enabling AI agents, fitting a CaaS platform for agent building.",
Leaping AI,Winter 2025,AI voice and texting agents,https://www.leapingai.com,leaping-ai,B2B,Artificial Intelligence; B2B; Conversational AI,11,"San Francisco, CA, USA",Active,Early,CaaS Platform,Customer Support,Voice Agent Platform,0.95,"Leaping AI provides a platform to deploy voice and texting AI agents for customer service with autonomous scheduling and multi-channel outreach, clearly an AI agent platform.","Leaping AI is the best platform to deploy voice and texting AI agents for customer service, lead qualification and appointment scheduling. We target mid-market and Enterprise companies and industries are: home remodeling, roofing, pay per call, travel, retail, health insurance, Medicare, health and real estate.

We automated contact centers employing >100 human agents and now handle their incoming customer support and appointment scheduling calls, end-to-end. All while maintaining 90% customer satisfaction score.

Pain points that we solve: missed calls, insufficient speed to lead, not enough call center resources, call center inefficiencies, agents not sticking to the script, etc.

At its core, we have a multi-channel outreach campaign feature, whereby our customers can call and text potential leads over an arbitrary time period. If end customers call or text back, the Leaping voice or text AI agent can autonomously schedule appointments and resolve service requests.

Some of our differentiating features: most-human like voice in the market, CRM integrations in place (Salesforce, Hubspot, MarketSharp, AccuLynx, JobNimbus, LeadPerfection, Google, etc.) and white-glove onboarding (in-person for larger accounts). Our AI agents can hold 100+ conversations at once, speak multiple languages and be equipped with company specific FAQ. Lastly, we have our own number health monitoring and DNC software."
Lucidic AI,Winter 2025,Reimagining how Machines Learn ,https://lucidic.ai,lucidic-ai,B2B,AIOps; Developer Tools; SaaS; Automation; AI,,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Learning System,0.9,"Lucidic AI builds custom learning systems for AI agents to improve from experience, enabling agent learning and adaptation, fitting an agent-enabling platform.","Lucidic emulates model training without changing model weights. The last decade made models intelligent, but intelligence is not the same as experience. Humans do not get better by memorizing thousands of examples; we build learning systems around ourselves: skills, memories, critique, practice, tools, and guidance. And every person learns differently because every task is different. Lucidic brings that idea to AI agents by training a custom learning system for each agent, so it learns what to remember, what skills to build, when to ask for help, and how to improve from experience. The model provides the intelligence, Lucidic gives it a way to learn."
Macadamia,Winter 2025,AI Agents for Complex Engineering Projects,https://macadamialabs.com,macadamia,"B2B; Engineering, Product and Design",,2,,Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.9,"Macadamia builds AI agents for complex engineering projects automating engineering and business processes, a vertical single-purpose AI agent product.","Macadamia builds AI agents for complex engineering projects. 
They automate both engineering & business processes, to automate away all low-leverage work.
It integrates with all engineering data sources, technical documentation, and third-party software tools.
Macadamia serves customers in mechanical engineering, manufacturing, and construction."
Mastra,Winter 2025,"The Javascript framework for building AI agents, from the Gatsby devs",https://mastra.ai,mastra,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools; Open Source; AI,30,"San Francisco, CA, USA; Remote",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Building Platform,0.95,"Mastra provides a framework and primitives for building AI agents, enabling developers to create autonomous AI applications with memory, tool use, and evaluation.","Mastra is the easiest way to build a production AI application, built by the team that brought you Gatsby. We provide a complete set of AI primitives: workflows for complex operations, agents for autonomous decisions, RAG for knowledge integration, and evals for quality & accuracy. Mastra is open-source, modular, and built in Typescript for product developers. You can deploy Mastra on any cloud, and it gives you a straightforward syntax to solve the hardest problems building with AI: human-in-the-loop workflows, agent memory and tool selection, and output quality. "
Mosaic,Winter 2025,Agentic video editing,https://mosaic.so,mosaic-2,Consumer; Content,,3,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Building Platform,0.9,"Mosaic enables users to create and run multimodal video editing agents, providing a platform for building autonomous agents for video editing.",Mosaic's canvas enables anyone to create and run their own multimodal video editing agents. Our mission is to accelerate hours of video editing work to seconds.
OpenIntake,Winter 2025,The AI Front Door For Law Firms,https://www.openintake.ai/,openintake,B2B; Legal,SaaS; B2B; Sales; Legal; LegalTech,2,"New York, NY, USA",Active,Early,Single-Purpose Agent,Legal & Compliance,Vertical Agent Product,0.9,"OpenIntake offers an AI front door agent for law firms that autonomously converts callers into clients, a single-purpose vertical AI agent product.",OpenIntake boosts law firm revenue by converting callers into clients 24/7.
Osmosis,Winter 2025,Reinforcement Learning (RL) for AI Agents,https://osmosis.ai/,osmosis,B2B,Artificial Intelligence; Machine Learning; Reinforcement Learning; Infrastructure,6,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Orchestration,0.9,"Osmosis provides a platform for fine-tuning language models with reinforcement learning, including compute orchestration and reward modeling, enabling development of task-specific AI agents.","Osmosis is a post-training platform that helps companies fine-tune language models using reinforcement learning. We work with fast-growing AI companies to train task/domain-specific models that beat foundation models on performance, cost, and latency. Our platform handles compute orchestration, reward modeling, and training run observability as a CLI-based product usable by developers and agents. "
Outlit,Winter 2025,Customer Context for Agents,https://outlit.ai/,outlit,B2B; Infrastructure,Artificial Intelligence; B2B; API; Infrastructure,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Memory & State,0.85,"Outlit builds infrastructure that consolidates customer data into queryable profiles for agents, enabling agents to have full context, which supports agent functionality.","Outlit turns every customer-facing tool in your stack, like Stripe, Granola, PostHog, Slack, Gmail, Pylon, and more, into one complete, queryable customer profile.

We resolve fragmented identity across mismatched records, extract structured facts and signals from unstructured interactions, and expose the result through CLI, MCP, and API. 

So every person and agent in your company has the full context on every customer to work from."
Pickle,Winter 2025,Where your life context becomes understanding.,https://www.pickle.com,pickle-2,Consumer; Consumer Electronics,Artificial Intelligence; Hardware; Augmented Reality; Consumer,15,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Memory & State,0.9,"Pickle provides a personal memory-based AI system that continuously learns context and intent, enabling proactive AI agents across software and hardware.","Pickle is a personal, memory-based operating system, the missing layer of AI that continuously learns your real-world context, preferences, and intent, enabling AI to evolve with you and become truly proactive rather than reactive. Our system spans both software (Chat, our web-based creative intelligence app) and hardware (Pickle 1, our AI-powered AR glasses) to capture different layers of personal context. Together, they form the foundation of a real personal intelligence."
Praxim,Winter 2025,The agentic AI Word editor,https://www.praxim.ai/,praxim,B2B; Productivity,Artificial Intelligence; SaaS; Consumer; B2B; Databases,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,General Purpose / Horizontal,Vertical Agent Product,0.95,"Praxim is an AI word editor agent that autonomously edits documents based on user instructions, demonstrating autonomous multi-step actions in a specific vertical.","Praxim is the agentic AI word editor that makes edits across your entire word document with formatting control, file and web context, and your personal preferences in mind. Simply tell Praxim what you'd like to do with your document and Praxim will implement your changes automatically. "
Promptless,Winter 2025,An AI teammate that automatically updates your customer-facing docs,https://promptless.ai/,promptless,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools; Generative AI; SaaS; B2B,5,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.9,Promptless provides an AI agent that autonomously updates customer-facing documentation by integrating multiple data sources and workflows.,"Docs are integral to a great customer experience, but managing them is a challenging, multi-team effort. The most successful companies recognize that fantastic docs drive adoption and bad ones cause customers to churn. Promptless is used by fast-growing startups and Fortune 500 enterprises alike to automatically update docs based on feature releases, support tickets, internal Slack conversations, and more.

Promptless is designed to be flexible—it can integrate with any docs platform, be triggered automatically from many workflows, and can pull in context from any internal knowledge source.

With Promptless, documentation becomes a strategic advantage for growth, not a bottleneck or a liability. "
Quantstruct,Winter 2025,AI documentation engineer – test & autoimprove stale product docs,https://quantstruct.com,quantstruct,B2B,Artificial Intelligence; Developer Tools; B2B; API; Automation,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,Engineering & Dev Tools,Agent Building Platform,0.95,"Quantstruct offers a customizable cloud service with multiple AI agents for documentation improvement, enabling others to build and customize agents for documentation workflows.","Quantstruct automatically creates and improves product documentation, implementation guides, and changelogs for API & SDK products, web-based enterprise software, and internal applications.

Quantstruct identifies gaps in your knowledge base based on each product release or unfulfilled customer query. It uses multiple AI agents to search existing knowledge sources, test existing docs for validity and style guidelines, and clicks, scrolls, and uses enterprise software through a web browser to generate docs with embedded screenshots and video recordings. Quanstruct is available as a cloud service to start, targeting technical writers, content writing, professional services, and product teams.

Traditional generative AI tools risk hallucinating critical API & SDK fields, even with RAG based approaches. Purely agent-based approaches risk providing unpredictable output that can diverge from desired documentation processes. Finally, no company’s review and publishing workflow is the same. Quantstruct is the easiest way to onboard and customize AI agents to continuously improve your documentation based on your customer needs and product evolution. https://quantstruct.com"
Rebolt,Winter 2025,AI-Powered Company OS,https://rebolt.ai,rebolt,B2B,Enterprise Software; AI; AI Assistant,3,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,General Purpose / Horizontal,Vertical Agent Product,0.85,"Rebolt builds tailor-made AI software agents that drive business outcomes, indicating autonomous agent products tailored per customer.",Rebolt sits on top of your systems and builds tailor-made AI software - to drive outcomes
Retrofit,Winter 2025,A vintage marketplace curated by AI,https://www.retrofit.shop/,retrofit,Consumer; Apparel and Cosmetics,,2,"New York, NY, USA",Active,Early,Single-Purpose Agent,E-commerce,Vertical Agent Product,0.9,"Retrofit uses AI agents to curate and personalize vintage marketplace inventory, acting as autonomous agents for curation and personalization.","Retrofit is reimagining the future of secondhand shopping. We are a new vintage marketplace that uses AI agents to curate and personalize in-demand, trending inventory. We analyze social media trends, sales data, and personal style to find the best vintage pieces that fit an individual’s unique taste, size, and budget."
Riviera,Winter 2025,AI Employees for Hotels,https://www.withriviera.com,riviera,B2B,SaaS; B2B; Travel; Analytics; AI,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Customer Support,Vertical Agent Product,0.95,"Riviera builds AI voice receptionist agents for hotels that autonomously handle calls and reservations, a clear single-purpose AI agent product.","Riviera builds AI Employees for Hotels. Our first agent is a hotel phone receptionist that lets hotels spend less time answering phone calls and more time helping customers. Our system handles front-desk inquiries, in-room dining orders, and reservations. It answers every question instantly and in any language, 24/7.

We are solving a problem that older phone systems and IVRs can't: customers hate not being able to talk to someone immediately, but most travel businesses can’t dedicate additional staff to manage phone lines. Voice AI has always seemed out of reach because the technology infrastructure in the travel industry is often fragmented, with reservation systems, loyalty programs, and in-house operations software that weren’t designed with voice AI in mind. Riviera addresses this by integrating seamlessly with existing software providers and using human-sounding voice models that are highly trained on data specific to each business type and department.

Hotels spend hundreds of billions annually on staffing and risk losing potential revenue when phone lines are overwhelmed or callers hang up. By enabling them to handle unlimited calls, day or night, Riviera unlocks additional revenue and eases labor challenges.
"
Roark,Winter 2025,"Test, monitor, and improve your voice agents",https://roark.ai,roark,B2B; Analytics,Analytics; AI; Conversational AI,3,"San Francisco, CA, USA",Active,Early,CaaS Platform,Engineering & Dev Tools,Agent Evaluation & Monitoring,0.95,"Roark provides testing, monitoring, and improvement tools for voice AI agents, enabling agent evaluation and lifecycle management.","Roark helps teams test, monitor, and improve their voice agents.

Voice AI is exploding, but reliability is still the #1 challenge. Teams spend hours manually testing agents and still miss failures. In the last 6 months, Roark has processed over 10M minutes of calls, powering monitoring and simulation for teams across the Voice AI ecosystem (including YC companies).

We close that gap by combining:

 📊 Monitoring & Evaluation - 40+ built-in metrics (latency, instruction-follow, sentiment, etc.), custom dashboards, alerts, and the ability to define your own. Up to 15 speakers with automatic speaker identification.
 🎭 Simulations & Personas - end-to-end phone/WebSocket simulations for inbound and outbound agents, with configurable personas (accents, languages, speech & behavior profiles). Define tests as conversations with a graph-based approach, so you can easily branch into edge cases and variants.
 🔁 Full lifecycle loop - failed calls automatically become repeatable tests, so every failure makes your agent stronger.

Roark is the missing QA layer for Voice AI - helping teams ship agents they can trust."
Rocketable,Winter 2025,The AI Maximalist Software Holding Company,https://www.rocketable.com,rocketable,B2B,,2,"San Francisco, CA, USA; Remote",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Orchestration,0.9,"Rocketable builds tools to orchestrate and integrate multiple AI agents to operate entire software companies autonomously, focusing on agent orchestration and integration.","Rocketable is building a large portfolio of wildly profitable software businesses by acquiring existing products and replacing human teams with AI agents.

Today’s foundation models already possess enough intelligence to automate most of the tasks required to run a profitable software business. In the functions where agents aren’t yet intelligent enough to replace humans, they will be soon.

When every human function required to operate a software product has an AI agent equivalent, the next step will be within reach: operating an entire company with a team of AI agents instead of humans.

But superintelligent agents within each function won’t be enough. To operate a software company with 0 human employees, the agents will need to be directed towards common goals, integrated to collaborate across functions, tuned with feedback loops connected to product metrics, and trained to make resource allocation decisions.

We are creating the tools needed to replace the entire org chart of a software company with a team of AI agents. We are developing these tools by owning the products that we automate, because we know from 10+ years of experience building automated systems with AI/ML that integration is the key to unlocking superhuman performance."
Serno,Winter 2025,Custom AI experts that map what one AI can't,https://serno.ai,serno,B2B; Supply Chain and Logistics,SaaS; Consumer Products; Conversational AI; AI Assistant,2,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Orchestration,0.9,"Serno assembles multiple AI experts (agents) with distinct roles to collaboratively answer complex questions, indicating an agent orchestration platform enabling custom multi-agent workflows.","Serno is the AI tool you reach for when one model isn't enough: pricing strategy, market entry, hiring trade-offs, anything you'd normally route to a team. Describe the question and Serno assembles 3–5 AI experts on Claude, GPT, and Gemini, each with a real role and research brief. 

They debate contradictions and map the answer as a canvas you can navigate, share, or export."
Sherpa Labs,Winter 2025,The AI Data Team,https://www.sherpalabs.ai,sherpa-labs,B2B,SaaS; B2B; Data Science; Data Engineering; AI,2,"New York City, NY, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Multi-Agent Framework,0.95,"Sherpa Labs builds a swarm of agents automating data modeling and discovery, providing an agentic data team platform with multi-agent orchestration.","Sherpa Labs is building an agentic data team that automates modeling, operations, and discovery via a swarm of agents. Their initial product is a data catalog that enables developers and AI agents to quickly locate the right data sources, effortlessly trace data lineage, and understand messy data lakes — similar to Glean but for enterprise data systems."
Solidroad,Winter 2025,"AI agents for CX teams, starting with training and QA.",https://solidroad.com,solidroad,B2B,,6,"San Francisco, CA, USA",Active,Growth,Single-Purpose Agent,Customer Support,Vertical Agent Product,0.95,"Solidroad builds AI agents specifically for CX teams focused on training and QA, a vertical single-purpose agent product.","Solidroad builds AI agents for CX teams, starting with training and QA. Solidroad agents train human reps in a simulated environment, and evaluate their performance in live customer channels.

By starting with training and QA, our agents learn how humans learn, and their performance can be compared directly with human reps. This enables us to prove the value of the rest of the agents on our roadmap.

Since launching last summer, we’ve reduced onboarding times by 50% at several of the world’s largest outsourced contact centres/BPOs like PartnerHero and Tech Mahindra, and improved go-live CSAT at Crypto.com by 3% (now above 90% CSAT)."
Spott,Winter 2025,AI-native ATS/CRM for recruiting firms,https://spott.io,spott,B2B; Recruiting and Talent,SaaS; B2B; HR Tech; Enterprise Software; AI,15,,Active,Early,Single-Purpose Agent,HR & Recruiting,Vertical Agent Product,0.9,"Spott offers an AI-native ATS/CRM with AI agents embedded across recruiting workflows, a vertical single-purpose agent product.","Spott is the first AI-native ATS/CRM for recruiting & staffing firms. We built Spott because existing recruitment platforms require extensive manual work, are clunky to use, rely on fragmented add-ons, and are not designed for AI adoption.

Spott combines everything recruiting firms need, from a full ATS & CRM to AI agents across the entire workflow, into one AI-native solution. It enables recruiters to focus on what matters most and close more placements."
Stamp,Winter 2025,The AI Secretary for Email and Calendar.,https://www.stampmail.ai/,stamp,B2B; Productivity,,1,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,General Purpose / Horizontal,Vertical Agent Product,0.9,"Stamp is an AI native inbox acting as an AI secretary with autonomous email and calendar management, a single-purpose agent product.","Stamp is the first AI Native inbox. It's more than an email client, though -- it's like your second brain.

Stamp can respond to emails in your voice, organize your inbox to filter out the noise, keep track of action items, and automate essentially every task you're doing manually in your inbox today."
TamLabs,Winter 2025,Agent Teams for Professionals,https://tamlabs.ai,tamlabs,B2B; Productivity,Finance; Workflow Automation; Legal; Enterprise; AI,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Finance & Accounting,Vertical Agent Product,0.85,"TamLabs provides AI agent teams delivering professional work products in law, finance, and consulting, indicating specialized autonomous agents for vertical use cases.","TamLabs' agent teams deliver professional work products for experts across law, finance, and consulting with speed and precision."
Tergle,Winter 2025,AI Agents for Audit,https://tergle.com,tergle,B2B,Generative AI; AI,,"New York City, NY, USA",Active,Early,Single-Purpose Agent,Finance & Accounting,Vertical Agent Product,0.9,"Tergle builds AI agents to replace auditors, indicating a specialized autonomous agent product for audit use cases.",Tergle builds AI to replace Auditors. 
Tire Swing,Winter 2025,AI Powered Affordable Housing Eligibility,https://gettireswing.com,tire-swing,B2B; Legal,GovTech; Real Estate; Housing; Compliance; Legal,2,"New York, NY, USA",Active,Early,Single-Purpose Agent,Legal & Compliance,Vertical Agent Product,0.9,"Tire Swing uses AI agents to automate eligibility evaluations and compliance in affordable housing, a vertical autonomous agent product.","Tire Swing uses AI to power resident and applicant eligibility evaluations for affordable housing.

Our software manages the resident certification and recertification process end-to-end for public and private properties supported by Project Based Rental Assistance, Low Income Housing Tax Credit, and Housing Vouchers. It serves as a drop-in replacement for third-party consultants and auditors, and helps compliance staff complete their work faster and more accurately. "
Toothy AI,Winter 2025,AI for insurance verification & billing at dental clinics,https://www.toothy.ai/,toothy-ai,Healthcare; Healthcare IT,Artificial Intelligence; Health Tech; Healthcare; Dental; Conversational AI,15,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.95,"Toothy AI builds AI agents that autonomously handle insurance verification and billing workflows for dental clinics, a clear vertical agent product.","We’re Toothy.ai.  We’re building AI agents for dental practices that handle everything related to patient insurance. The average dental clinic spends over 160 hours a month on insurance tasks like verifying patient policies, billing, and claims processing. Our AI agents automate this entire workflow—including making insurance calls with voice AI—saving clinics time, reducing costs, and ensuring faster reimbursements."
Trata,Winter 2025,AI-powered research desk for hedge funds,https://www.trytrata.com/,trata,B2B; Finance and Accounting,Finance; B2B; Community; Investing; AI,6,"New York, NY, USA",Active,Early,Single-Purpose Agent,Finance & Accounting,Vertical Agent Product,0.9,"Trata uses AI agents to conduct research and interviews for hedge funds, a specialized vertical autonomous agent product.","Trata is an AI-powered research desk for hedge funds. We use agents to interview hedge fund analysts, write investment research, and distribute this through a subscription."
